,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Trajectory Size,,,Input,,,,Time,,,Compression,,,,,Information Loss,,,,,,,,,,,,,,,,,,,,,,,,,
,Method,Frames,Atoms,Size,System Name,Atoms,,Size,Compression Time,Decompression Time,Reconstruction Time (Modeller + BioBB) (*),Decoder Size,Latent Space,Total,Ratio,Difference,RMSD                     (Decoder Reconstruction),RMSF                     (Decoder Reconstruction),RMSD                     (Full Reconstruction),RMSF                    (Full Reconstruction),,,,,,,,,,,,,,,,,,,,,,
,MongoDB,,,,Full Atomistic,7909,,"718,19",-,-,-,-,-,"2.219,02","1,02",,"0,00","0,00","0,00","0,00",,,,,,,,,,,,,,,,,,,,,,
,CompressTraj,,,,Full Atomistic,7909,23727,"718,19","2358,17","1,1985",-,"391,48","113,23","504,71","4,49",,-,-,"0,232",,,,,,,,,,,,,,,,,,,,,,,
,HDF5 / H5MD,,,,Full Atomistic,7909,,"718,19",-,-,-,-,-,"504,66","4,49",,-,-,"0,00","0,00",,,,,,,,,,,,,,,,,,,,,,
,cg2all,,,,Full Atomistic,7909,,"718,19",,,,,,"256,55","8,83",,,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AE Architecture,,,,SLURM,,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Sampling,1,,,qos,acc_bscls,,Sizes,Bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,batch_size,512,,,nodes,1,,Time,Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,partition,"0,8",,,ntasks,80,,Information Loss,Angstroms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,latent_dim,20,,,gpu,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,encoder_layers,6,,,max-time,2-00:00:00,,Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,decoder_layers,6,,,,,,Bytes to Mb,1048576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,epochs,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,lr,"0,0001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,lr step size,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,gamma,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,normalized data,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
